Key,Source,Line,LegacyType,OwnerTask,TargetClassification
ECS/Components/AchievementComponents.cs#AchievementBackButton,ECS/Components/AchievementComponents.cs,77,AchievementBackButton,ECS-044,Empty tag
ECS/Components/AchievementComponents.cs#AchievementButton,ECS/Components/AchievementComponents.cs,85,AchievementButton,ECS-044,Empty tag
ECS/Components/AchievementComponents.cs#AchievementGridItem,ECS/Components/AchievementComponents.cs,9,AchievementGridItem,ECS-044,Hot unmanaged component split from catalog/buffer state
ECS/Components/AchievementComponents.cs#AchievementSceneState,ECS/Components/AchievementComponents.cs,93,AchievementSceneState,ECS-044,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#ActionPoints,ECS/Components/CardComponents.cs,123,ActionPoints,ECS-020,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#AnimatingHandToDiscard,ECS/Components/CardComponents.cs,1094,AnimatingHandToDiscard,ECS-041,Empty tag
ECS/Components/CardComponents.cs#AnimatingHandToDrawPile,ECS/Components/CardComponents.cs,1114,AnimatingHandToDrawPile,ECS-041,Empty tag
ECS/Components/CardComponents.cs#AnimatingHandToZone,ECS/Components/CardComponents.cs,1104,AnimatingHandToZone,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#Animation,ECS/Components/CardComponents.cs,660,Animation,ECS-020,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#AppliedPassives,ECS/Components/CardComponents.cs,1153,AppliedPassives,ECS-043,Dynamic buffer handle plus unmanaged component
ECS/Components/CardComponents.cs#BattleInfo,ECS/Components/CardComponents.cs,959,BattleInfo,ECS-042,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#BattleStateInfo,ECS/Components/CardComponents.cs,216,BattleStateInfo,ECS-042,Dynamic buffer handle plus unmanaged component
ECS/Components/CardComponents.cs#Battlefield,ECS/Components/CardComponents.cs,913,Battlefield,ECS-042,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#Brittle,ECS/Components/CardComponents.cs,510,Brittle,ECS-041,Empty tag
ECS/Components/CardComponents.cs#CanPlayHighlightSettings,ECS/Components/CardComponents.cs,1022,CanPlayHighlightSettings,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CannotBlockThisAttack,ECS/Components/CardComponents.cs,1281,CannotBlockThisAttack,ECS-042,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CardData,ECS/Components/CardComponents.cs,21,CardData,ECS-041,Catalog definition referenced by compact ID
ECS/Components/CardComponents.cs#CardGeometrySettings,ECS/Components/CardComponents.cs,979,CardGeometrySettings,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CardListModal,ECS/Components/CardComponents.cs,752,CardListModal,ECS-041,Dynamic buffer handle plus unmanaged component
ECS/Components/CardComponents.cs#CardListModalClose,ECS/Components/CardComponents.cs,778,CardListModalClose,ECS-041,Empty tag
ECS/Components/CardComponents.cs#CardListModalSelectionMetadata,ECS/Components/CardComponents.cs,766,CardListModalSelectionMetadata,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CardPlayStatContext,ECS/Components/CardComponents.cs,903,CardPlayStatContext,ECS-041,Dynamic buffer handle plus unmanaged component
ECS/Components/CardComponents.cs#CardSheen,ECS/Components/CardComponents.cs,415,CardSheen,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CardToDiscardFlight,ECS/Components/CardComponents.cs,1119,CardToDiscardFlight,ECS-041,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CardTooltip,ECS/Components/CardComponents.cs,457,CardTooltip,ECS-041,Dynamic buffer handle plus unmanaged component
ECS/Components/CardComponents.cs#ClimbShopSlotAction,ECS/Components/CardComponents.cs,783,ClimbShopSlotAction,ECS-044,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#Colorless,ECS/Components/CardComponents.cs,556,Colorless,ECS-041,Empty tag
ECS/Components/CardComponents.cs#Courage,ECS/Components/CardComponents.cs,113,Courage,ECS-020,Hot unmanaged component split from catalog/buffer state
ECS/Components/CardComponents.cs#CourageTooltipAnchor,ECS/Components/CardComponents.cs,618,CourageTooltipAnchor,ECS-042,Empty tag
ECS/Components/CardComponents.cs#Cursed,ECS/Components/CardComponents.cs,534,Cursed,ECS-041,Empty tag
ECS/Components/CardComponents.cs#CursedOriginalCard,ECS/Components/CardComponents.cs,543,CursedOriginalCard,ECS-041,Hot unmanaged component split from catalog/buffer state
