Key,Source,Line,EventType,Occurrence,OwnerTask,Target
ECS/Components/QuestScopedCardModificationCleanup.cs#ShowQuestRewardOverlay#1,ECS/Components/QuestScopedCardModificationCleanup.cs,23,ShowQuestRewardOverlay,1,ECS-044,World-owned typed event stream or generated route
ECS/Core/EventQueueBridge.cs#<inferred-delegate-type>#1,ECS/Core/EventQueueBridge.cs,58,<inferred-delegate-type>,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Achievements/Archangel.cs#ApplyPassiveEvent#1,ECS/Objects/Achievements/Archangel.cs,29,ApplyPassiveEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/BoldInvestment.cs#ModifyCourageRequestEvent#1,ECS/Objects/Achievements/BoldInvestment.cs,30,ModifyCourageRequestEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/BoldInvestment.cs#StartBattleRequested#1,ECS/Objects/Achievements/BoldInvestment.cs,29,StartBattleRequested,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/CardPlayer.cs#CardPlayedEvent#1,ECS/Objects/Achievements/CardPlayer.cs,30,CardPlayedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/FadedSpectrum.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/FadedSpectrum.cs,28,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/FirstVictory.cs#ShowQuestRewardOverlay#1,ECS/Objects/Achievements/FirstVictory.cs,26,ShowQuestRewardOverlay,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/FrozenButUnbroken.cs#FrostbiteTriggered#1,ECS/Objects/Achievements/FrozenButUnbroken.cs,30,FrostbiteTriggered,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/FrozenButUnbroken.cs#QuestSelected#1,ECS/Objects/Achievements/FrozenButUnbroken.cs,29,QuestSelected,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/FrozenButUnbroken.cs#ShowQuestRewardOverlay#1,ECS/Objects/Achievements/FrozenButUnbroken.cs,31,ShowQuestRewardOverlay,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/HexedHoard.cs#ApplyCardApplicationEvent#1,ECS/Objects/Achievements/HexedHoard.cs,30,ApplyCardApplicationEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/HexedHoard.cs#StartBattleRequested#1,ECS/Objects/Achievements/HexedHoard.cs,29,StartBattleRequested,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/JustGettingStarted.cs#ShowQuestRewardOverlay#1,ECS/Objects/Achievements/JustGettingStarted.cs,28,ShowQuestRewardOverlay,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/Kenosis.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/Kenosis.cs,27,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/KunaiStorm.cs#CardPlayedEvent#1,ECS/Objects/Achievements/KunaiStorm.cs,33,CardPlayedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/KunaiStorm.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Achievements/KunaiStorm.cs,32,ChangeBattlePhaseEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/LivingOnTheEdge.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/LivingOnTheEdge.cs,30,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/MassRevival.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Achievements/MassRevival.cs,31,ChangeBattlePhaseEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/MassRevival.cs#DrawRandomCardFromDiscardEvent#1,ECS/Objects/Achievements/MassRevival.cs,32,DrawRandomCardFromDiscardEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/MasterArtificer.cs#CardUpgradeConfirmedEvent#1,ECS/Objects/Achievements/MasterArtificer.cs,29,CardUpgradeConfirmedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/QuestMaster.cs#ShowQuestRewardOverlay#1,ECS/Objects/Achievements/QuestMaster.cs,29,ShowQuestRewardOverlay,1,ECS-044,World-owned typed event stream or generated route
