Key,Source,Line,LegacyType,OwnerTask,TargetClassification
ECS/Objects/Achievements/Archangel.cs#Archangel,ECS/Objects/Achievements/Archangel.cs,11,Archangel,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/BoldInvestment.cs#BoldInvestment,ECS/Objects/Achievements/BoldInvestment.cs,11,BoldInvestment,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/CardPlayer.cs#CardPlayer,ECS/Objects/Achievements/CardPlayer.cs,12,CardPlayer,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/FadedSpectrum.cs#FadedSpectrum,ECS/Objects/Achievements/FadedSpectrum.cs,13,FadedSpectrum,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/FirstVictory.cs#FirstVictory,ECS/Objects/Achievements/FirstVictory.cs,10,FirstVictory,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/FrozenButUnbroken.cs#FrozenButUnbroken,ECS/Objects/Achievements/FrozenButUnbroken.cs,10,FrozenButUnbroken,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/HexedHoard.cs#HexedHoard,ECS/Objects/Achievements/HexedHoard.cs,11,HexedHoard,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/JustGettingStarted.cs#JustGettingStarted,ECS/Objects/Achievements/JustGettingStarted.cs,10,JustGettingStarted,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/Kenosis.cs#Kenosis,ECS/Objects/Achievements/Kenosis.cs,12,Kenosis,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/KunaiStorm.cs#KunaiStorm,ECS/Objects/Achievements/KunaiStorm.cs,13,KunaiStorm,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/LivingOnTheEdge.cs#LivingOnTheEdge,ECS/Objects/Achievements/LivingOnTheEdge.cs,12,LivingOnTheEdge,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/MassRevival.cs#MassRevival,ECS/Objects/Achievements/MassRevival.cs,12,MassRevival,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/MasterArtificer.cs#MasterArtificer,ECS/Objects/Achievements/MasterArtificer.cs,11,MasterArtificer,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/QuestMaster.cs#QuestMaster,ECS/Objects/Achievements/QuestMaster.cs,10,QuestMaster,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/RedCardApprentice.cs#RedCardApprentice,ECS/Objects/Achievements/RedCardApprentice.cs,12,RedCardApprentice,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/Relentless.cs#Relentless,ECS/Objects/Achievements/Relentless.cs,12,Relentless,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/SkeletonSlayer.cs#SkeletonSlayer,ECS/Objects/Achievements/SkeletonSlayer.cs,12,SkeletonSlayer,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/Slayer.cs#Slayer,ECS/Objects/Achievements/Slayer.cs,11,Slayer,ECS-044,Generated definition module and static handler
ECS/Objects/Achievements/Unshackled.cs#Unshackled,ECS/Objects/Achievements/Unshackled.cs,13,Unshackled,ECS-044,Generated definition module and static handler
ECS/Objects/Cards/Absolution.cs#Absolution,ECS/Objects/Cards/Absolution.cs,7,Absolution,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/ArkOfTheCovenant.cs#ArkOfTheCovenant,ECS/Objects/Cards/ArkOfTheCovenant.cs,7,ArkOfTheCovenant,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/BatteringBlow.cs#BatteringBlow,ECS/Objects/Cards/BatteringBlow.cs,8,BatteringBlow,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/BattleScars.cs#BattleScars,ECS/Objects/Cards/BattleScars.cs,8,BattleScars,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/BloodPrice.cs#BloodPrice,ECS/Objects/Cards/BloodPrice.cs,8,BloodPrice,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Burn.cs#Burn,ECS/Objects/Cards/Burn.cs,9,Burn,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/CardBase.cs#CardBase,ECS/Objects/Cards/CardBase.cs,28,CardBase,ECS-030,Catalog/helper folded into owning domain
ECS/Objects/Cards/CarpeDiem.cs#CarpeDiem,ECS/Objects/Cards/CarpeDiem.cs,7,CarpeDiem,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/ColorlessBlock.cs#ColorlessBlock,ECS/Objects/Cards/ColorlessBlock.cs,3,ColorlessBlock,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Consecrate.cs#Consecrate,ECS/Objects/Cards/Consecrate.cs,9,Consecrate,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Courageous.cs#Courageous,ECS/Objects/Cards/Courageous.cs,7,Courageous,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/CrimsonRite.cs#CrimsonRite,ECS/Objects/Cards/CrimsonRite.cs,10,CrimsonRite,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Crusade.cs#Crusade,ECS/Objects/Cards/Crusade.cs,9,Crusade,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Curse.cs#Curse,ECS/Objects/Cards/Curse.cs,6,Curse,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Dagger.cs#Dagger,ECS/Objects/Cards/Dagger.cs,7,Dagger,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/DeusVult.cs#DeusVult,ECS/Objects/Cards/DeusVult.cs,8,DeusVult,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/DivineProtection.cs#DivineProtection,ECS/Objects/Cards/DivineProtection.cs,8,DivineProtection,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/DowseWithHolyWater.cs#DowseWithHolyWater,ECS/Objects/Cards/DowseWithHolyWater.cs,7,DowseWithHolyWater,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/EmberHarvest.cs#EmberHarvest,ECS/Objects/Cards/EmberHarvest.cs,9,EmberHarvest,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Exaltation.cs#Exaltation,ECS/Objects/Cards/Exaltation.cs,8,Exaltation,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Excavate.cs#Excavate,ECS/Objects/Cards/Excavate.cs,9,Excavate,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Fervor.cs#Fervor,ECS/Objects/Cards/Fervor.cs,9,Fervor,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/ForgeStrike.cs#ForgeStrike,ECS/Objects/Cards/ForgeStrike.cs,7,ForgeStrike,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Fury.cs#Fury,ECS/Objects/Cards/Fury.cs,10,Fury,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Graveward.cs#Graveward,ECS/Objects/Cards/Graveward.cs,8,Graveward,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Hammer.cs#Hammer,ECS/Objects/Cards/Hammer.cs,7,Hammer,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/HiddenKunai.cs#HiddenKunai,ECS/Objects/Cards/HiddenKunai.cs,9,HiddenKunai,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/HoldTheLine.cs#HoldTheLine,ECS/Objects/Cards/HoldTheLine.cs,6,HoldTheLine,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Impale.cs#Impale,ECS/Objects/Cards/Impale.cs,9,Impale,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/IncreaseFaith.cs#IncreaseFaith,ECS/Objects/Cards/IncreaseFaith.cs,7,IncreaseFaith,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/IronCovenant.cs#IronCovenant,ECS/Objects/Cards/IronCovenant.cs,8,IronCovenant,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Kunai.cs#Kunai,ECS/Objects/Cards/Kunai.cs,7,Kunai,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Lacerate.cs#Lacerate,ECS/Objects/Cards/Lacerate.cs,8,Lacerate,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/LitanyOfWrath.cs#LitanyOfWrath,ECS/Objects/Cards/LitanyOfWrath.cs,8,LitanyOfWrath,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/MaleficRite.cs#MaleficRite,ECS/Objects/Cards/MaleficRite.cs,7,MaleficRite,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Mantlet.cs#Mantlet,ECS/Objects/Cards/Mantlet.cs,7,Mantlet,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/PierceThrough.cs#PierceThrough,ECS/Objects/Cards/PierceThrough.cs,7,PierceThrough,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/PouchOfKunai.cs#PouchOfKunai,ECS/Objects/Cards/PouchOfKunai.cs,12,PouchOfKunai,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Purge.cs#Purge,ECS/Objects/Cards/Purge.cs,10,Purge,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/QuickWit.cs#QuickWit,ECS/Objects/Cards/QuickWit.cs,8,QuickWit,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/RallyTheFaithful.cs#RallyTheFaithful,ECS/Objects/Cards/RallyTheFaithful.cs,7,RallyTheFaithful,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Ravage.cs#Ravage,ECS/Objects/Cards/Ravage.cs,8,Ravage,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/RazorStorm.cs#RazorStorm,ECS/Objects/Cards/RazorStorm.cs,6,RazorStorm,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Reap.cs#Reap,ECS/Objects/Cards/Reap.cs,11,Reap,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Reckoning.cs#Reckoning,ECS/Objects/Cards/Reckoning.cs,8,Reckoning,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/RelentlessStrike.cs#RelentlessStrike,ECS/Objects/Cards/RelentlessStrike.cs,8,RelentlessStrike,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/RenounceAndHone.cs#RenounceAndHone,ECS/Objects/Cards/RenounceAndHone.cs,9,RenounceAndHone,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Sacrifice.cs#Sacrifice,ECS/Objects/Cards/Sacrifice.cs,7,Sacrifice,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Seize.cs#Seize,ECS/Objects/Cards/Seize.cs,8,Seize,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/SerpentCrush.cs#SerpentCrush,ECS/Objects/Cards/SerpentCrush.cs,9,SerpentCrush,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/ShieldOfFaith.cs#ShieldOfFaith,ECS/Objects/Cards/ShieldOfFaith.cs,8,ShieldOfFaith,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Smite.cs#Smite,ECS/Objects/Cards/Smite.cs,7,Smite,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Stab.cs#Stab,ECS/Objects/Cards/Stab.cs,8,Stab,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Stalwart.cs#Stalwart,ECS/Objects/Cards/Stalwart.cs,8,Stalwart,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/SteadfastResolve.cs#SteadfastResolve,ECS/Objects/Cards/SteadfastResolve.cs,8,SteadfastResolve,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/SteelTheSpirit.cs#SteelTheSpirit,ECS/Objects/Cards/SteelTheSpirit.cs,8,SteelTheSpirit,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/StokeTheFurnace.cs#StokeTheFurnace,ECS/Objects/Cards/StokeTheFurnace.cs,8,StokeTheFurnace,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/StokedAssault.cs#StokedAssault,ECS/Objects/Cards/StokedAssault.cs,7,StokedAssault,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Strike.cs#Strike,ECS/Objects/Cards/Strike.cs,8,Strike,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/SuddenThrust.cs#SuddenThrust,ECS/Objects/Cards/SuddenThrust.cs,7,SuddenThrust,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Sword.cs#Sword,ECS/Objects/Cards/Sword.cs,7,Sword,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/SwordIntoShield.cs#SwordIntoShield,ECS/Objects/Cards/SwordIntoShield.cs,7,SwordIntoShield,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/TemperTheBlade.cs#TemperTheBlade,ECS/Objects/Cards/TemperTheBlade.cs,7,TemperTheBlade,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Tempest.cs#Tempest,ECS/Objects/Cards/Tempest.cs,8,Tempest,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Thaw.cs#Thaw,ECS/Objects/Cards/Thaw.cs,7,Thaw,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/UnburdenedStrike.cs#UnburdenedStrike,ECS/Objects/Cards/UnburdenedStrike.cs,8,UnburdenedStrike,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/VanguardsPromise.cs#VanguardsPromise,ECS/Objects/Cards/VanguardsPromise.cs,8,VanguardsPromise,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Vindicate.cs#Vindicate,ECS/Objects/Cards/Vindicate.cs,8,Vindicate,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/Whirlwind.cs#Whirlwind,ECS/Objects/Cards/Whirlwind.cs,9,Whirlwind,ECS-030,Generated definition module and static handler
ECS/Objects/Cards/ZealousVow.cs#ZealousVow,ECS/Objects/Cards/ZealousVow.cs,7,ZealousVow,ECS-030,Generated definition module and static handler
