Key,Source,Line,LegacyType,OwnerTask,TargetClassification
ECS/Scenes/AchievementScene/AchievementBackButtonDisplaySystem.cs#AchievementBackButtonDisplaySystem,ECS/Scenes/AchievementScene/AchievementBackButtonDisplaySystem.cs,13,AchievementBackButtonDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementBackgroundDisplaySystem.cs#AchievementBackgroundDisplaySystem,ECS/Scenes/AchievementScene/AchievementBackgroundDisplaySystem.cs,17,AchievementBackgroundDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementConfettiDisplaySystem.cs#AchievementConfettiDisplaySystem,ECS/Scenes/AchievementScene/AchievementConfettiDisplaySystem.cs,13,AchievementConfettiDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs#AchievementDescriptionDisplaySystem,ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs,16,AchievementDescriptionDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs#AchievementExplosionSystem,ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs,20,AchievementExplosionSystem,ECS-044,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementGridDisplaySystem.cs#AchievementGridDisplaySystem,ECS/Scenes/AchievementScene/AchievementGridDisplaySystem.cs,20,AchievementGridDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs#AchievementMeterDisplaySystem,ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs,16,AchievementMeterDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementSceneSystem.cs#AchievementSceneSystem,ECS/Scenes/AchievementScene/AchievementSceneSystem.cs,17,AchievementSceneSystem,ECS-044,IGameSystem with generated descriptor
ECS/Scenes/AchievementScene/AchievementTitleDisplaySystem.cs#AchievementTitleDisplaySystem,ECS/Scenes/AchievementScene/AchievementTitleDisplaySystem.cs,13,AchievementTitleDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/AlertDisplaySystem.cs#AlertDisplaySystem,ECS/Scenes/AlertDisplaySystem.cs,20,AlertDisplaySystem,ECS-045,IGameSystem with generated descriptor
ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs#ActionPointDisplaySystem,ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs,22,ActionPointDisplaySystem,ECS-045,IGameSystem with generated descriptor
